Pclass,Age,SibSp,Parch,Fare,FamilySize,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Title_Master,Title_Misc,Title_Miss,Title_Mr,Title_Mrs
3,0.20875642885401557,0.125,0.1111111111111111,0.056778,0.4,1,0,1,0,0,0,0,0,0,1
3,0.3670051430832124,0.0,0.0,0.15016666666666667,0.0,0,1,0,0,1,0,0,0,1,0
3,0.2746933931161809,0.0,0.0,0.052138666666666666,0.0,0,1,0,1,0,0,0,0,1,0
3,0.34732413204281054,0.0,0.0,0.051666666666666666,0.0,0,1,0,1,0,0,0,0,1,0
3,0.34732413204281054,0.0,0.0,0.058083333333333334,0.0,0,1,0,0,1,0,0,0,1,0
2,0.24172491098509824,0.0,0.0,0.08666666666666667,0.0,0,1,0,0,1,0,0,0,1,0
2,0.5384412501648425,0.0,0.0,0.10030533333333333,0.0,0,1,1,0,0,0,0,0,1,0
3,0.2845839377555057,0.0,0.0,0.051861333333333336,0.0,1,0,0,1,0,0,0,1,0,0
1,0.472504285902677,0.0,0.0,0.21119466666666667,0.0,1,0,1,0,0,0,0,1,0,0
3,0.24172491098509824,0.0,0.0,0.04855533333333333,0.0,1,0,0,1,0,0,0,1,0,0
1,0.8285638929183701,0.125,0.0,1.0,0.2,1,0,0,0,1,0,0,0,0,1
3,0.2351312145588817,0.125,0.0,0.09636133333333334,0.2,0,1,1,0,0,0,0,0,1,0
3,0.34732413204281054,0.0,0.0,0.042916666666666665,0.0,0,1,1,0,0,0,0,0,1,0
3,0.01094553606751945,0.125,0.1111111111111111,0.11133333333333333,0.4,1,0,0,0,1,0,0,1,0,0
1,0.472504285902677,0.0,0.0,0.5016113333333333,0.0,0,1,1,0,0,0,0,0,1,0
2,0.3801925359356455,0.125,0.0,0.17333333333333334,0.2,1,0,0,0,1,0,0,0,0,1
2,0.15600685744428328,0.0,0.0,0.105,0.0,1,0,0,0,1,0,0,1,0,0
3,0.34732413204281054,0.125,0.0,0.051666666666666666,0.2,0,1,0,1,0,0,0,0,1,0
1,0.459316893050244,0.125,0.0,0.385,0.2,1,0,1,0,0,0,0,0,0,1
3,0.3670051430832124,0.0,0.0,0.04833333333333333,0.0,0,1,0,0,1,0,0,0,1,0
3,0.34732413204281054,0.0,0.0,0.051666666666666666,0.0,0,1,0,1,0,0,0,0,1,0
3,0.2219438217064486,0.0,0.1111111111111111,0.10733333333333334,0.2,1,0,0,0,1,0,0,1,0,0
3,0.287880785968614,0.0,0.0,0.051972,0.0,0,1,0,0,1,0,0,0,1,0
3,0.2845839377555057,0.25,0.0,0.155,0.4,1,0,0,1,0,0,0,1,0,0
2,0.5516286430172754,0.0,0.0,0.08666666666666667,0.0,0,1,0,0,1,0,0,0,1,0
3,0.3142555716734801,0.0,0.0,0.05366666666666667,0.0,0,1,0,0,1,0,0,0,1,0
3,0.4197547144929447,0.0,0.0,0.05366666666666667,0.0,0,1,0,0,1,0,0,0,1,0
1,0.6966899643940393,0.0,0.0,0.19,0.0,0,1,1,0,0,0,1,0,0,0
3,0.2845839377555057,0.0,0.4444444444444444,0.16977799999999998,0.8,1,0,0,0,1,0,0,0,0,1
3,0.34732413204281054,0.125,0.0,0.042916666666666665,0.2,0,1,1,0,0,0,0,0,1,0
3,0.5648160358697085,0.0,0.0,0.05263866666666667,0.0,0,1,0,0,1,0,0,0,1,0
3,0.3142555716734801,0.0,0.0,0.05236133333333333,0.0,0,1,0,0,1,0,0,0,1,0
3,0.34722405380456284,0.0,0.0,0.04816666666666666,0.0,0,1,1,0,0,0,0,0,1,0
2,0.3406303573783463,0.0,0.0,0.08666666666666667,0.0,0,1,0,0,1,0,0,0,1,0
3,0.3010681788210471,0.0,0.0,0.05366666666666667,0.0,1,0,0,0,1,0,0,1,0,0
3,0.5252538573124094,0.125,0.6666666666666666,0.31266666666666665,1.0,0,1,0,0,1,0,0,0,1,0
3,0.12963207173941713,0.625,0.2222222222222222,0.31266666666666665,1.0,1,0,0,0,1,0,0,1,0,0
1,0.4329421073453778,0.0,0.0,1.0,0.0,1,0,0,0,1,0,0,1,0,0
1,0.8021891072135039,0.125,0.3333333333333333,1.0,0.8,0,1,1,0,0,0,0,0,1,0
2,0.3670051430832124,0.0,0.0,0.17333333333333334,0.0,0,1,0,0,1,0,0,0,1,0
1,0.5516286430172754,0.0,0.0,0.17700000000000002,0.0,0,1,0,0,1,0,0,0,1,0
3,0.4065673216405117,0.375,0.0,0.12,0.6,0,1,0,0,1,0,0,0,1,0
1,0.5421519997179726,0.0,0.0,0.34575,0.0,0,1,0,0,1,0,0,0,1,0
3,0.287880785968614,0.0,0.0,0.05366666666666667,0.0,0,1,0,0,1,0,0,0,1,0
1,0.5421519997179726,0.0,0.0,0.17700000000000002,0.0,0,1,0,0,1,0,0,0,1,0
2,0.3933799287880786,0.125,0.1111111111111111,0.17333333333333334,0.4,0,1,0,0,1,0,1,0,0,0
1,0.3010681788210471,0.0,0.1111111111111111,0.5543886666666666,0.2,1,0,1,0,0,0,0,0,0,1
3,0.34732413204281054,0.0,0.0,0.05263866666666667,0.0,0,1,1,0,0,0,0,0,1,0
3,0.7955954107872873,0.0,0.0,0.09636133333333334,0.0,0,1,0,0,1,0,0,0,1,0
3,0.472504285902677,0.0,0.2222222222222222,0.08122199999999999,0.4,1,0,0,0,1,0,0,0,0,1
3,0.16919425029671634,0.5,0.2222222222222222,0.20925,1.0,0,1,0,0,1,1,0,0,0,0
3,0.3142555716734801,0.0,0.0,0.050333333333333334,0.0,0,1,0,0,1,0,0,0,1,0
1,0.3801925359356455,0.0,0.0,1.0,0.0,1,0,0,0,1,0,0,1,0,0
3,0.3010681788210471,0.0,0.0,0.05236133333333333,0.0,1,0,0,0,1,0,0,1,0,0
1,0.5516286430172754,0.0,0.0,0.17700000000000002,0.0,0,1,0,0,1,0,0,0,1,0
3,0.3406303573783463,0.0,0.2222222222222222,0.09183333333333334,0.4,1,0,0,0,1,0,0,0,0,1
3,0.2845839377555057,0.0,0.0,0.051555333333333335,0.0,1,0,0,1,0,0,0,1,0,0
3,0.0900698931821179,0.125,0.1111111111111111,0.10163866666666665,0.4,0,1,1,0,0,1,0,0,0,0
2,0.3406303573783463,0.0,0.0,0.09,0.0,1,0,0,0,1,0,0,1,0,0
3,0.34732413204281054,0.0,0.0,0.04666666666666667,0.0,0,1,0,0,1,0,0,0,1,0
2,0.5384412501648425,0.0,0.0,0.08666666666666667,0.0,0,1,0,0,1,0,1,0,0,0
3,0.3406303573783463,0.125,0.1111111111111111,0.14683333333333332,0.4,1,0,0,0,1,0,0,0,0,1
1,0.630753000131874,0.0,0.0,0.3366386666666667,0.0,0,1,1,0,0,0,0,0,1,0
3,0.2351312145588817,0.25,0.2222222222222222,0.22916666666666666,0.8,0,1,0,0,1,0,0,0,1,0
1,0.4541970817075346,0.0,0.0,0.18480533333333335,0.0,1,0,1,0,0,0,0,0,0,1
3,0.287880785968614,0.0,0.0,0.059750000000000004,0.0,1,0,0,0,1,0,0,1,0,0
3,0.34732413204281054,0.0,0.0,0.050333333333333334,0.0,0,1,0,0,1,0,0,0,1,0
3,0.3538177502307794,0.0,0.0,0.04816666666666666,0.0,0,1,1,0,0,0,0,0,1,0
3,0.3010681788210471,0.125,0.0,0.09266666666666667,0.2,0,1,0,0,1,0,0,0,1,0
3,0.34732413204281054,0.0,0.0,0.04819466666666666,0.0,0,1,1,0,0,0,0,0,1,0
3,0.5252538573124094,0.125,0.5555555555555556,0.20925,1.0,0,1,0,0,1,0,0,0,1,0
2,0.19556903600158249,0.0,0.2222222222222222,0.26,0.4,1,0,0,0,1,0,0,1,0,0
2,0.2615060002637478,0.0,0.0,0.245,0.0,1,0,0,0,1,0,0,1,0,0
1,0.7098773572464724,0.125,0.0,0.3696113333333333,0.2,0,1,1,0,0,0,0,0,1,0
2,0.472504285902677,0.0,0.3333333333333333,0.26,0.6,1,0,0,0,1,0,0,0,0,1
1,0.8417512857708032,0.0,0.2222222222222222,0.5543886666666666,0.4,1,0,1,0,0,0,0,0,0,1
2,0.3933799287880786,0.0,0.0,0.08666666666666667,0.0,0,1,0,0,1,0,0,0,1,0
1,0.4856916787551101,0.125,0.1111111111111111,0.5543886666666666,0.4,0,1,1,0,0,0,0,0,1,0
1,0.2351312145588817,0.125,0.0,0.35400000000000004,0.2,1,0,0,0,1,0,0,0,0,1
3,0.34732413204281054,0.0,0.0,0.051666666666666666,0.0,0,1,0,1,0,0,0,0,1,0
1,0.3538177502307794,0.125,0.1111111111111111,1.0,0.4,1,0,1,0,0,0,0,0,0,1
2,0.5252538573124094,0.0,0.0,0.10666666666666667,0.0,0,1,0,0,1,0,0,0,1,0
2,0.2746933931161809,0.0,0.1111111111111111,0.14,0.2,1,0,0,0,1,0,0,1,0,0
3,0.2219438217064486,0.25,0.0,0.05366666666666667,0.4,0,1,0,0,1,0,0,0,1,0
3,0.2845839377555057,1.0,0.2222222222222222,0.46366666666666667,1.0,1,0,0,0,1,0,0,1,0,0
2,0.5252538573124094,0.0,0.0,0.08666666666666667,0.0,0,1,0,0,1,0,0,0,1,0
2,0.4461295001978109,0.125,0.0,0.17333333333333334,0.2,0,1,0,0,1,0,0,0,1,0
1,0.5421519997179726,0.0,0.0,0.17333333333333334,0.0,0,1,0,0,1,0,0,0,1,0
3,0.14941316101806673,0.125,0.1111111111111111,0.09666666666666666,0.4,0,1,0,0,1,1,0,0,0,0
2,0.8021891072135039,0.0,0.0,0.08233333333333333,0.0,0,1,0,1,0,0,0,0,1,0
2,0.10325728603455098,0.0,0.2222222222222222,0.21666666666666667,0.4,0,1,0,0,1,1,0,0,0,0
3,0.4329421073453778,0.0,0.0,0.05236133333333333,0.0,0,1,0,0,1,0,0,0,1,0
1,0.07688250032968483,0.0,0.2222222222222222,0.8966666666666666,0.4,0,1,1,0,0,1,0,0,0,0
3,0.2351312145588817,0.0,0.0,0.051833333333333335,0.0,1,0,0,0,1,0,0,1,0,0
2,0.3010681788210471,0.0,0.0,0.07,0.0,0,1,0,0,1,0,0,0,1,0
3,0.2845839377555057,0.0,0.0,0.05408333333333334,0.0,1,0,0,0,1,0,0,0,0,1
3,0.2845839377555057,0.0,0.0,0.10333333333333333,0.0,1,0,0,1,0,0,0,1,0,0
3,0.0021099828563892918,0.0,0.2222222222222222,0.096,0.4,0,1,0,0,1,1,0,0,0,0
1,0.6175656072794409,0.125,0.0,1.0,0.2,0,1,1,0,0,0,1,0,0,0
2,0.10325728603455098,0.125,0.1111111111111111,0.17333333333333334,0.4,1,0,0,0,1,0,0,1,0,0
2,0.3274429645259132,0.0,0.0,0.07,0.0,0,1,0,0,1,0,0,0,1,0
1,0.5421519997179726,0.0,0.0,0.17161133333333334,0.0,0,1,1,0,0,0,0,0,1,0
3,0.459316893050244,0.0,0.0,0.051666666666666666,0.0,1,0,0,1,0,0,0,1,0,0
2,0.3142555716734801,0.0,0.0,0.07,0.0,0,1,0,0,1,0,0,0,1,0
1,0.4329421073453778,0.0,0.0,0.18480533333333335,0.0,1,0,1,0,0,0,0,1,0,0
3,0.3274429645259132,0.0,0.0,0.05263866666666667,0.0,0,1,0,0,1,0,0,0,1,0
3,0.4197547144929447,0.0,0.0,0.15016666666666667,0.0,0,1,0,0,1,0,0,0,1,0
3,0.34732413204281054,0.0,0.0,0.047,0.0,0,1,0,0,1,0,0,0,1,0
2,0.2219438217064486,0.0,0.0,0.49,0.0,0,1,0,0,1,0,0,0,1,0
2,0.7890017143610708,0.125,0.0,0.17333333333333334,0.2,1,0,0,0,1,0,0,0,0,1
3,0.4988790716075432,0.5,0.2222222222222222,0.051833333333333335,1.0,1,0,0,0,1,0,0,1,0,0
1,0.5516286430172754,0.0,0.0,0.2833333333333333,0.0,0,1,0,0,1,0,0,0,1,0
3,0.2845839377555057,0.0,0.0,0.052528,0.0,1,0,0,1,0,0,0,1,0,0
1,0.7494395358037715,0.125,0.1111111111111111,1.0,0.4,0,1,0,0,1,0,0,0,1,0
1,0.65712778583674,0.125,0.1111111111111111,1.0,0.4,1,0,1,0,0,0,0,0,0,1
3,0.34732413204281054,0.0,0.0,0.05366666666666667,0.0,0,1,0,0,1,0,0,0,1,0
2,0.3933799287880786,0.125,0.0,0.09238866666666666,0.2,1,0,1,0,0,0,0,1,0,0
3,0.2746933931161809,0.0,0.0,0.05366666666666667,0.0,0,1,0,0,1,0,0,0,1,0
2,0.287880785968614,0.0,0.0,0.07,0.0,1,0,0,0,1,0,0,0,0,1
3,0.2746933931161809,0.0,0.0,0.051972,0.0,0,1,0,0,1,0,0,0,1,0
1,0.6966899643940393,0.0,0.0,0.182972,0.0,1,0,1,0,0,0,0,0,0,1
3,0.2845839377555057,0.0,0.2222222222222222,0.10163866666666665,0.4,1,0,1,0,0,0,0,0,0,1
3,0.3010681788210471,0.0,0.0,0.051972,0.0,0,1,0,0,1,0,0,0,1,0
3,0.2845839377555057,0.0,0.0,0.051666666666666666,0.0,1,0,0,1,0,0,0,1,0,0
3,0.5318475537386259,0.0,0.0,0.10066666666666667,0.0,0,1,0,0,1,0,0,0,1,0
2,0.472504285902677,0.0,0.0,0.08666666666666667,0.0,0,1,0,0,1,0,0,0,1,0
2,0.18238164314914942,0.0,0.0,0.43333333333333335,0.0,0,1,0,0,1,0,0,0,1,0
1,0.2746933931161809,0.0,0.0,0.17700000000000002,0.0,1,0,0,0,1,0,0,1,0,0
3,0.2746933931161809,0.125,0.0,0.043305333333333335,0.2,0,1,0,0,1,0,0,0,1,0
3,0.34732413204281054,0.0,0.0,0.052528,0.0,0,1,0,1,0,0,0,0,1,0
1,0.5120664644599763,0.125,0.0,0.475222,0.2,0,1,1,0,0,0,0,0,1,0
3,0.2615060002637478,0.0,0.0,0.05236133333333333,0.0,0,1,0,0,1,0,0,0,1,0
1,0.8417512857708032,0.125,0.0,0.5016666666666667,0.2,0,1,1,0,0,0,0,0,1,0
3,0.2615060002637478,0.0,0.0,0.04816666666666666,0.0,0,1,1,0,0,0,0,0,1,0
2,0.2351312145588817,0.125,0.1111111111111111,0.08666666666666667,0.4,1,0,0,0,1,0,0,1,0,0
1,0.630753000131874,0.125,0.0,0.7095,0.2,1,0,1,0,0,0,0,0,0,1
1,0.7230647500989055,0.0,0.0,0.18480533333333335,0.0,1,0,1,0,0,0,0,0,0,1
2,0.5911908215745747,0.0,0.2222222222222222,0.2,0.4,1,0,0,0,1,0,0,0,0,1
1,0.5911908215745747,0.125,0.1111111111111111,0.8966666666666666,0.4,0,1,1,0,0,0,0,0,1,0
3,0.34732413204281054,0.0,0.0,0.052583333333333336,0.0,0,1,0,0,1,0,0,0,1,0
3,0.34732413204281054,0.125,0.2222222222222222,0.15633333333333332,0.6,0,1,0,0,1,1,0,0,0,0
1,0.5384412501648425,0.125,0.0,0.34575,0.2,0,1,0,0,1,0,0,0,1,0
2,0.287880785968614,0.0,0.0,0.14,0.0,1,0,0,0,1,0,0,0,0,1
2,0.5516286430172754,0.125,0.1111111111111111,0.21666666666666667,0.4,0,1,0,0,1,0,0,0,1,0
2,0.3801925359356455,0.125,0.0,0.17333333333333334,0.2,1,0,0,0,1,0,0,0,0,1
3,0.2845839377555057,0.125,0.0,0.09636133333333334,0.2,1,0,1,0,0,0,0,0,0,1
2,0.009890544639324806,0.125,0.2222222222222222,0.185,0.6,1,0,0,0,1,0,0,1,0,0
3,0.2615060002637478,0.0,0.0,0.05283333333333333,0.0,0,1,0,0,1,0,0,0,1,0
1,0.3538177502307794,0.125,0.0,0.9118613333333333,0.2,0,1,1,0,0,0,0,0,1,0
3,0.3142555716734801,0.0,0.0,0.06216666666666666,0.0,0,1,0,0,1,0,0,0,1,0
3,0.42634841091916126,0.0,0.0,0.06333333333333334,0.0,0,1,0,0,1,0,0,0,1,0
3,0.34732413204281054,0.0,0.0,0.050333333333333334,0.0,0,1,0,0,1,0,0,0,1,0
3,0.34732413204281054,0.0,0.0,0.051666666666666666,0.0,0,1,0,1,0,0,0,0,1,0
3,0.3670051430832124,0.0,0.0,0.05366666666666667,0.0,0,1,0,0,1,0,0,0,1,0
2,0.24831860741131476,0.0,0.0,0.08666666666666667,0.0,1,0,0,0,1,0,0,1,0,0
3,0.2746933931161809,0.0,0.0,0.051833333333333335,0.0,0,1,0,0,1,0,0,0,1,0
3,0.47909798232889356,0.125,0.0,0.11599999999999999,0.2,0,1,0,0,1,0,0,0,1,0
3,0.2746933931161809,0.0,0.0,0.05236133333333333,0.0,0,1,0,0,1,0,0,0,1,0
2,0.3801925359356455,0.0,0.2222222222222222,0.15333333333333332,0.4,1,0,0,0,1,0,0,0,0,1
3,0.01094553606751945,0.125,0.1111111111111111,0.08122199999999999,0.4,1,0,0,0,1,0,0,1,0,0
2,0.3933799287880786,0.0,0.0,0.08491666666666667,0.0,0,1,1,0,0,0,0,0,1,0
3,0.34732413204281054,0.0,0.0,0.05263866666666667,0.0,0,1,0,0,1,0,0,0,1,0
